name,description
Oxford Journals,"A collection of over 230 academic and research journals covering a broad range of subject areas, two-thirds of which are published in collaboration with learned societies and other international organizations. Includes arts and humanities; life science and medicine; mathematics and physical sciences; and social sciences journals.<br />  <br />  Availability: Full-text<br />  Date Coverage:  All from v.1"
Oxford Music Online (1 simultaneous user),"A gateway offering the ability to access and cross-search multiple music reference resources in one location. It includes the full-text of Grove Music Online and Oxford Companion to Music. Covers articles on composers, performers, conductors, instruments and notation, forms and genres, individual works, musicology, theory, and criticism. Links to thousand of illustrations and sound recordings. <br />  <br />  Availability: Full-text and illustrations<br />  Date Coverage: Current"
Oxford Scholarly Editions Online,"Collection of primary material across a wide variety of subject areas, from philosophy and literature, to economics and medicine. Its content constitutes the cornerstone of research in the fields of English Literature and Classical Studies. Provides access to scholarly materials written between 1485 and 1901, including all of Shakespeare’s plays.   <br />  <br />  Availability: Full-text <br />  Date Coverage: Complete collection till May 2021<br />  <br />  OSEO allows users to search the complete text of over 170 scholarly editions, read texts in the original language with a translation alongside, together with interpretive and explanatory notes."
Oxford Scholarship Online,"Multidisciplinary and cross-searchable library containing the full-text of classic and newly published books from leading university presses in the areas of humanities, social sciences, sciences, medicine, and law.    <br />  <br />  Availability: Full-text <br />  Date Coverage: Complete collection till March 2022"
Packt Publishing eBooks Library,
PAIS Index,"This resource covers issues in the public debate through selective coverage of a wide variety of international sources including journal articles, books, government documents, statistical directories, grey literature, research reports, conference papers, web content, and more. PAIS International is the current file covering 1972 to present, and PAIS Archive includes the content from printed volumes published 1915-1976.<br />  <br />  Coverage: 1914 - Current"
Passport: Euromonitor International,"Passport is a global market research database providing statistics, analysis, reports, and breaking news.<br />  The database includes country fact files, lifestyle statistics, market data, consumer products and economic indicators. Passport database provides data on consumer markets, foreign trade, industrial markets, IT and telecommunications, population and households, resources and environment, retailing, service markets, and more. The history and forecast data allows the analysis of data from 1977-2020. Statistical data can be downloaded into Excel spreadsheets or in a chart style. Passport contains:<br />  A range of consumer trends and lifestyle indicators such as disposable income availability, consumer expenditure, consumer prices, eating and drinking habits, household profiles, home ownership statistics, media access and health data.<br />  Market research reports on industries, consumer lifestyles and retailing as well as company profiles and country reports.<br />  <br />  Availability: Statistical data and full-text <br />  Coverage: Current"
Pediatric Nutrition Care Manual (2 simultaneous users),"Published by the Academy of Nutrition and Dietetics, the Pediatric Nutrition Care Manual provides nutrition education materials and current evidence-based nutrition recommendations for pediatrics. Subjects covered include nutrition care, human milk, critical care, food allergy, normal nutrition, eating disorders, weight management, etc.<br />  <br />  Availability: Full-text<br />  Date Coverage: Current"
Periodicals Archive Online,"An archive of hundred of digitized journals published in the arts, humanities and social sciences. It contains periodicals from the 17th to early 20th centuries. The periodical archive is international in scope and spread across a wide variety of subject areas including architecture, archaeology, folklore, geography, history, law, literature, religion, and women's studies.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1813-2002"
Periodicals Index Online,"An electronic index to articles published in over 6,000 periodicals in the arts, humanities and social sciences. PIO covers a broad range of subjects including anthropology, architecture, arts, history, linguistics, literature, philosophy, religion, and much more. The collection provides access, where available, to page images in the related Periodicals Archive Online (PAO).<br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1665-2006"
Philosopher’s Index,"A comprehensive bibliographic database covering scholarly research in all major fields of philosophy.<br />  The database cites works in English, Spanish, German, French, Italian, Russian, Chinese and Japanese. It also includes complete coverage of international articles from anthologies and books written in English and other languages.<br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1940 to present"
Plant Management Network International,"A multidisciplinary resource for applied plant science information and management offering research material on agricultural and horticultural crops. Includes journal articles, news, conference proceedings, reports, efficacy trials, and an image-based pest database.<br />  <br />  Availability: Full-text and images<br />  Date Coverage: Varies"
Pocket Anesthesia (Fourth Edition),"Concise, up-to-date source of information for management of the most common perioperative conditions.<br />  This pocket guide presents essential information that residents, anesthesiologists, CRNAs, and medical students need on the wards and in the operating room.<br />  <br />  Availability: Full-text<br />  Date Coverage: 2021"
Points of View Reference Center,"Database designed to provide students with a series of essays that present multiple sides of a current issue. It covers a wide range of topics including citizen’s rights, environment, family issues, global issues, society, and much more. The database includes materials from essays, political magazines, newspapers, radio and TV news transcripts, primary documents and reference books. <br />  <br />  Availability: Full-text<br />  Date Coverage:  1900 to present"
Policy File Index,"Provides reports from over 300 active think tanks, research organizations, and advocacy groups including the Hoover Institution, International Monetary Fund, Organization for Economic Cooperation and Development, RAND Corporation, and the World Bank.<br />  <br />  It indexes, abstracts, and links directly to current research on virtually every public policy issue, with international coverage from many organizations around the world, as well as in-depth coverage of U.S. domestic policy organizations.<br />  Coverage: 1990-"
Poole’s Index to Periodical Literature,"An index of American and British periodicals published during the nineteenth century. The database is the electronic version of the Poole's Index to Periodical Literature originally published in six volumes between 1882 and 1908. Poole's index covers a wide range of subjects including history, literature, religion, politics, social science, political economy and much more. <br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1803-1906<br />  <br />  Note: The print equivalent is held in Jafet Stacks"
Professional Development Collection,"Provides a highly specialized collection of high quality education journals, including more than 350 peer-reviewed titles.<br />  The database also contains more than 200 educational reports. Sample titles are Booklist, Education, Education Digest, Educational Leadership, High School Journal, Journal of Education, Phi Delta Kappan, Reading Teacher, School Library Journal, and many others. <br />  <br />  Availability: Full-text <br />  Date Coverage: Varies"
Project Muse Journals,"An online collection of journals from scholarly and academic presses including John Hopkins University Press. The collection provides access to arts, humanities, and social sciences in scholarly journals that are peer-reviewed.<br />  Subject covered include literature and criticism, history, the visual and performing arts, cultural studies, education, political science, economics, and many others.<br />  <br />  Availability: Full-text<br />  Date Coverage: All from v.1"
Project MUSE open access Books and Journals,A collection of open access (OA) books and journals from several distinguished university presses and scholarly societies. These books and journals are freely available to libraries and users around the world.<br />  <br />  Availability: Full-text<br />  Date Coverage: Varies
ProQuest Central,"A multidisciplinary database that supports research in more than 160 subject areas covering arts and humanities, business and management, health and medicine, science and technology, and social sciences. It includes scholarly journals, trade publications, magazines, books, newspapers, market reports and videos.<br />  <br />  Availability: Full-text and bibliographic citations<br />  Date Coverage: 1905 to present"
ProQuest Dissertations & Theses Global,"A comprehensive collection of dissertations and theses from around the world, offering millions of works from thousands of universities mainly in North America and Europe. With the new Open Access Publishing service the database provides full text of open access dissertations and theses free of charge.<br />  <br />  Availability: Full-text and bibliographic citations<br />  Date Coverage: 1861 to present"
ProQuest Ebook Central,"A multidisciplinary collection of reference and scholarly e-books from hundreds of university presses, trade publishers, and popular presses. The content covers 16 key subject areas including: business and economics, computers and IT, education, fine arts, history, literature and linguistics, life science, medicine, political science etc...<br />  <br />  Availability: Full-text<br />  Date Coverage: 1999 to present"
"ProQuest History Vault: Confidential U.S. State Department Central Files, Africa and Middle East, 1960-1969",
"ProQuest History Vault: Creation of Israel British Foreign Office Correspondence on Palestine and Transjordan, 1940-1948","Full-text primary documents used in the development of British foreign policy such as dispatches, letters, and telegrams from British diplomatic posts to the Foreign Office and back. Subjects covered: modern history of the Middle East,  establishment of Israel as a sovereign state and postwar international world politics.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1940-1948"
ProQuest TDM Studio (To have full access users must create an account using their university email address),
Psychiatry Online Books,"A collection of electronic books published by the American Pscychiatry Association. The collection includes psychiatry textbooks, the DSM library, study guides and self-assessment tools.<br />  <br />  Availability: Full-text<br />  Date Coverage: Varies"
Psychiatry Online Journals,"A collection of journals published by the American Psychiatry Association.<br />  The database includes the following: The American Journal of Psychiatry, Psychiatric Services, Journal of Neuropsychiatry and Clinical Neurosciences, and Focus: The Journal of Lifelong Learning in Psychiatry.<br />  <br />  Availability: Full-text<br />  Date Coverage: All from v.1"
Psychological Experiments Online,"A multimedia collection that synthesizes the most important psychological experiments of the 20th and 21st centuries, fostering deeper levels of understanding for students and scholars alike. These experiments have far-reaching impacts on fields as diverse as sociology, business, advertising, economics, political science, law, ethics, and the arts."
PubChem,"Launched by the National Institutes of Health in 2004, PubChem is a key chemical information resource containing information on chemical structures, identifiers, chemical and physical properties, biological activities, patents, health, safety, toxicity data, etc. PubChem provides compound neighbouring, sub/superstructure, similarity structure, bioactivity data, and other searching features."
PubMed,"Bibliographic database that provides access to over 16 million citations from MEDLINE and other life science journals in medicine, nursing, dentistry, veterinary medicine, the health care system, and the preclinical sciences, including both basic biomedical sciences and clinical practice. <br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1946 to present"
PubMed Central,"PubMed Central® (PMC) is a free full-text archive of biomedical and life sciences journal literature at the U.S. National Institutes of Health's National Library of Medicine (NIH/NLM). In keeping with NLM’s legislative mandate to collect and preserve the biomedical literature, PMC serves as a digital counterpart to NLM’s extensive print journal collection. <br />  <br />  Availability: Full-text<br />  Date Coverage: late 1700s to present"
Qurʾān Concordance,"A unique finding aid which allows users to identify and localize text fragments, or even snippets, of the Qurʾān. Published by Brill, the Qurʾān Concordance consists of a typeset version of the King Fuʾād I Edition (Cairo 1924) of the text of the Qurʾān, as well as a coded representation of the Arabic script skeleton based on the earliest manuscripts. <br />  <br />  Available: Full-text<br />  Date Coverage: - - - -"
Religion Past and Present,"An international encyclopedia of religion covering a wide range of subjects in theological and biblical studies. Published by Brill, Religion Past and Present (RPP) is the online version of the updated English translation of the 4th edition of the Religion in Geschichte und Gegenwart. It includes all 13 volumes of the print edition and is automatically updated whenever a new volume has been published.<br />  <br />  Availability: Full-text  <br />  Date Coverage: 2012"
Research Professional,"A funding database providing help on writing proposals, creating spin-out companies, dealing with copyright and intellectual property, and all aspects of administration necessary for successful research.<br />  <br />  Availability: Full-text<br />  Date Coverage: Current <br />  Restriction: Faculty Only. First time users should register here http://www.researchprofessional.com. <br />  For help call the ext.: 2976 or e-mail: grants@aub.edu.lb<br />  <br />  Information on Research Professional is stored on three databases:<br />  Funding Opportunities: Offer easy and complex search options.<br />  It can be browsed by sponsor, discipline, type of sponsor, purpose of award, deadline, and eligibility. Each record includes a detailed abstract and links to the application form. <br />  Sponsors: Features information about the objectives, eligibility requirement and application procedures of sponsors along with links to the sponsor’s webpages.<br />  News: Provides up to date news on global research development and all the latest information on research policy and politics from the UK, US, Europe, Australia, New Zealand, Asia and Africa.<br />  <br />  Restriction: Faculty Only. To create your own account and set up e-mail alerts, follow these steps:<br />   1.     Go to the Research Professional website: http://www.researchprofessional.com.<br />  2.     Click on self-registration and fill in the required fields<br />  For help in registration and creation of profiles, faculty members may contact the Office of Grants and Contracts at the ext.: 2976 or by e-mail: grants@aub.edu.lb"
Richard Wagner,"A primary source, covering the Wagner literature of the nineteenth century as held by the Zentralbibliothek Zürich. The titles reproduced here cover the whole spectrum of the European Wagner literature. The collection consists of three parts:<br />  Secondary Literature of the Nineteenth century; Wagner's Mein Leben, 1870-1880; and Mathilde Wesendonck's Complete Published Writing.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1851-1902"
Royal Entomological Society Handbooks eBook Collection (1981-2022),Coverage: 1981-2022
Royal Society of Chemistry (RSC) Journals Online,"RSC Journals provides full-text access to scholarly journals in the core chemical sciences published by the Royal Society of Chemistry. Subjects include analytical science, biological chemistry, catalysis, chemical biology & medicinal chemistry, environmental science, food science, general chemistry, inorganic chemistry, materials chemistry, nanoscience, organic chemistry and physical chemistry.<br />  <br />  Availability: Full-text<br />  Date Coverage: All from v.1"
"Russian Military Intelligence on Asia: Archive series, 1651-1917","A primary source, covering historical-geographical, statistical, topographical and ethnographical descriptions of eight Asian countries. Holds material on the domestic political and economic situation of states, their foreign policy and international relations, and the state of their armed forces and military skills. Contains political reports, diaries, correspondence, maps and drawings.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1651-1917"
"Russian Military Intelligence on Asia: Secret Prints, 1883-1914","A primary source of articles, consisting of descriptions, reports, and treatises by Russian military and diplomatic staff.<br />  Also holds translations and summaries of works originally published outside Russia, issued by the general staff of the Russian army in order to support existing and potential Russian activities on the Asian continent. Materials are in Russian language.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1883-1914"
"Russian-Ottoman Relations, parts 1-4","A rare collection of primary sources on a vital and dynamic part of the history of Turkey, Russia, the Middle East, and Western Europe. These sources provide detailed insights not only into the military ebb and flow of Russian-Ottoman relations, but also into their effects on European public opinion. The collection includes diplomatic discussion treaties, personal views, and military analysis. <br />  <br />  Availability: Full text<br />  Date Coverage: 1600-1914<br />  <br />  Russian-Ottoman Relations consists of four parts:<br />  Part 1: The Origins 1600-1800<br />  Brings together a unique collection of rare primary sources on a vital and dynamic part of the history of Turkey, Russia, the Middle East and Western Europe.<br />  Part 2: Shift in the Balance of Power 1800-1853<br />  Features discussions of diplomatic treaties, the commercial and military issue of access to the Black Sea, eye-witness accounts from theaters of war, and plans for, and ideas about, future confrontations.<br />  Part 3: The Crimean War 1854-1856<br />  Printed works in western languages, covering the war between Russia on one side, and Britain, France and the Ottoman Empire, on the other.  <br />  Part 4: The End of the Empires 1857-1914<br />  Printed Works in Western Languages, covering the Ottoman Empire decline during the second half of the nineteenth century. The material in this part is diverse and focuses on trade, personal views, military analysis, and national policy statements.<br />  <br />  Availability: Full text<br />  Coverage: 1600-1914"
SAE Digital Library,"Published by the Society of Automotive Engineers (SAE), the library covers all areas of mobility and automotive engineering including aerospace, ground vehicle, off-highway, and manufacturing technology. Contains technical papers, standards, reports, books, and magazines.<br />  <br />  Availability: Full-text<br />  Date Coverage: - - - -"
Sage Journals,"An online collection of peer review journals out of which 295 titles are accessible from volume one, issue one. The database is browsable by titles and covers four primary topics: social science and humanities, health science, life and biomedical sciences, materials science and engineering.<br />  <br />  Availability: Full-text<br />  Date Coverage:  All from v.1"
Sage Knowledge,"A collection of encyclopedias, books and videos from Sage publication.<br />  The database allows users to search and browse titles by subject covering areas such as business, counseling, crime, education, health and social care, family studies, media, psychology, social issues and sociology.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1965 to present"
SAGE Knowledge Business Cases,"Published by Sage, the database includes over 3,000 full-text business cases, integrated with SAGE's journal, book, video, and reference content.<br />  <br />  Available: Full-text"
SAGE Research Methods Online,"Published by Sage, this database supports research at all levels by providing material to guide users through every step of the research process. This ultimate methods library contains books, reference works, journal articles, and instructional videos by world-leading academics from across the social sciences. <br />  <br />  Availability: Full-text and videos<br />  Date Coverage: - - - -"
Sage Research Methods Video,"Published by SAGE, the database includes hours of fully accessible tutorials, interviews, video case studies, and mini-documentaries covering the entire research process. Subjects covered are key concepts in research, philosophy of research, research design, data collection, writing and disseminating research, and more.<br />  <br />  Availability: Videos<br />  Date Coverage: - - - -"
SAO/NASA Astrophysics Data System,"The Astrophysics Data System (ADS) is a NASA-funded project whose main resource is an abstract service, which draws abstracts from a variety of national and international scientific sources. ADS maintains three bibliographic databases covering astronomy and astrophysics, physics and geophysics, and the ArXiv e-prints. <br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1975 to present"
Science Citation Index Expanded (SCIE),"A multidisciplinary database indexing scientific and technical journals across 150 disciplines. Subjects covered include agricultural, biological sciences, engineering, medical and life sciences, and physical sciences. The database is accessed via Web of Science and allows cited reference searching, results analysis, citation mapping, and the creation of citation reports.<br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1900 to present"
Science magazine,"The world's leading peer-reviewed academic journal focusing on original scientific research, and containing global news, commentaries, and opinion pieces related to science and technology.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1997 to present <br />  Note: From 1880 to 2009 available through JSTOR database"
ScienceDirect,"A multidisciplinary database that provides full-text access to hundreds of electronic journals, plus books and reference works, published by Elsevier and its subsidiaries. 754 of the journal titles are accessible from volume 1. Subjects covered include physical sciences, engineering, life sciences, health sciences, social sciences and humanities.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1923 to present"
SciFinder,"Published by the American Chemical Society, SciFinder provides access to the Chemical Abstract database. It contains chemistry, biochemistry and chemical engineering journals, patents, book chapters, conference proceedings, dissertations, technical reports. It has the world's largest collection of organic and inorganic substance information. <br />  Availability: Bibliographic citations<br />  Date Coverage: 1800s to present<br />  Note: First times users should be on campus to create an account, at (https://origin-scifinder.cas.org/registration/index.html?corpKey=72286060-86F3-5055-7553-F82B188D3419)<br />  <br />  READ for additional information.<br />  JAVA: You need to have ""Java Applet and Java Web Start support"" installed on your PC. Download and install JAVA at: http://www.java.com/getjava/index.jsp"
SciVal,"A web-based analytics solution that provides access to the research performance of over 14,000 research institutions and their associated researchers from 230 nations worldwide. SciVal allows to visualize research performance, benchmark relative to peers, develop strategic partnerships, identify and analyze emerging research trends, and create tailored reports.<br />  Note: First time users should sign-in"
Scopus,"Scopus, launched in 2004, is the largest abstract and citation database of peer-reviewed literature: scientific journals, books and conference proceedings. Delivers a comprehensive overview of the world's research output in the fields of science, technology, medicine, social sciences, and arts and humanities. Includes citation tracking tools.<br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1823 to present"
Sezgin online,
Sezgin Online II: The Frankfurt Volumes,
Shāhnāmah Editions,"A collection of extremely rare illustrated lithographed editions of Ferdowsi's famous national epic of Persia, The Book of Kings. Published by BRILL, the present collection offers the complete text of a total of thirteen lithographed editions of the Shāhnāmah, including the initially published Indian edition Bombay 1262/1846 and the first Iranian edition Tehran 1265-67/1851-53.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1846-1904"
Shakespeare Survey Online,"A yearbook of Shakespeare studies and production. Each volume is devoted to a theme, or play, or group of plays, including a section of reviews, textual and critical studies, and major British performances. Books are illustrated with a variety of Shakespearean images and production photographs. <br />  <br />  Availability: Full-text<br />  Date Coverage: 1948-2021"
Shamaa = شمعة,"An open access database of literature on education in Arab countries. It indexes books, peer reviewed articles, theses and dissertations, reports and conference proceedings in Arabic, English and French languages. <br />  <br />  Availability: Bibliographic citations and selected full-text<br />  Date Coverage: 2007 - present"
SIAM eBooks,Society for Industrial and Applied Mathematics (SIAM) books are a leading source of knowledge for the applied mathematics and computational science communities.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1960s to 2021
SIAM Journals,Collection of peer reviewed journals published by the Society for Industrial and Applied Mathematics. These journals are a leading source of knowledge for the applied mathematics and computational science communities.<br />  <br />  Availability: Full-text<br />  Date Coverage: All from v. 1
Social Sciences Citation Index (SSCI),"A multidisciplinary database indexing social sciences journals across fifty disciplines. Subjects covered include anthropology, sociology, urban studies, business and communication, criminology, law, nursing, and rehabilitation. The database is accessed via Web of Science and allows cited reference searching, results analysis, citation mapping, and the creation of citation reports.<br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1900 to present"
SPIE Digital Library,"A comprehensive, online tool for locating papers on optics, photonics, optoelectronics, and imaging. Includes over 500,000 technical papers from SPIE Journals and Conference Proceedings and more than 370 eBooks from SPIE Press.  <br />  <br />  Availability: Full-text <br />  Date Coverage: Complete collection"
Sports Nutrition Care Manual (2 simultaneous users),"Published by the Academy of Nutrition and Dietetics, Sports Nutrition Care Manual provides research-based information on sports dietetics, including client education handouts, meal plans, calculators for BMI, energy expenditure, sweat rate, lean body mass, and healthy body weight.<br />  <br />  Availability: Full-text<br />  Date Coverage: Current <br />  Limitations: 2 simultaneous users"
Springer Books,"A  digitized scientific, technical and medical (STM) book collection. It comprises professional books with in-depth knowledge, reference books, and textbooks.  Subjects covered include Biomedical and Life Sciences, Chemistry, Computer Science, Earth and Environmental Science, Engineering, Mathematics, and Physics. <br />  <br />  Availability: Full-text<br />  Date Coverage: Complete collection"
Springer Protocols,"A full-text online database of reproducible laboratory protocols in the biomedical and life sciences. It compiles protocols from several book series and provides access to nearly thirty years of tested, trusted, step-by-step protocols covering various subjects.<br />  <br />  Availability: Full-text standards<br />  Date Coverage: All content till the end of 2022."
SpringerLink,"An integrated platform for books, journals, and other materials published by Springer. Includes more than 173,000 titles from every scientific discipline (computer science, medicine, public health, engineering, mathematics, life sciences, etc.) and many social sciences discipline (education, history, political sciences, psychology, etc.) 481 of the journal titles are accessible from volume one.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1832 to present"
Stahl Online,Full access to the entire current portfolio of books by Dr Stephen M. Stahl on neuropsychopharmacology and mental health.
Standard & Poor’s (S&P): Ratings (WRDS),
Stanford Encyclopedia of Philosophy,"A dynamic open access reference work containing articles on people, concepts, and other topics in philosophy. The encyclopedia is maintained by Stanford University. All entries, and updates to entries, are rigorously refereed prior to publication on the Web.<br />  <br />  Availability: Full-text<br />  Date Coverage: Current"
Statista (To have access users have to select American University of Beirut from the Institution login dropdown page),"A large statistics and market research platform with an information pool for a wide range of industry such as retail, advertising, media, consumer goods, and technology. Statista.com consolidates statistical data on over 80,000 topics from more than 22,500 sources. It covers current market figures and forecasts for the most important consumer goods within a total of more than 200 markets."
"Sunday Times Magazine, The (click on &quot;more&quot; for access)","The Times is the oldest national daily newspaper in the UK and holds an important place as the “paper of record” on public life, from politics and world affairs to business and sport. The Times and Sunday Times have unrivalled specialists in science, health, education, environment and social affairs. While their well-connected teams of political reporters provide unique insight into the workings of Westminster and Whitehall, their royal correspondents combine authority with a record of delivering scoops that are followed by media around the world. <br />  <br />  Coverage: 2024 - Present"
Sustainable Development Goals Online (SDGO),"The SDG Online collection includes more than 12,000 of the most important and relevant book chapters and journal articles, published under the Routledge and CRC Press imprints, in an online library covering all 17 SDGs. The collection also features new multi-format teaching and learning resources, including core essays, presentations, videos, case studies, teaching guides, and lesson plans."
Taylor & Francis eBooks,"This e-book collection provides online access to over 10,000 selected academic books published by Taylor & Francis, primarily in the humanities and social sciences, and approximately 15,000 titles published by CRC Press in science, technology, engineering, and medicine.<br />  <br />  Availability: full-text<br />  Date Coverage: Varies"
Taylor & Francis eBooks EBA,"eBooks in all subject areas within Social Sciences, including politics, sociology, criminology, business studies, economics, built environment, urban studies, sport, tourism, and law."
Taylor & Francis Journals,"Online access to over 900 peer-reviewed journals covering disciplines in science, technology, engineering, medicine, humanities and social sciences published by Taylor & Francis, Routledge, and Psychology Press imprints. <br />  <br />  Availability: Full-text<br />  Date Coverage: All from v.1"
Taʾrīkh al-rusul wa-l-mulūk = تأريخ الرسل والملوك,"Published by Brill, The Annals of the Prophets and Kings (Taʾrīkh al-rusul wa-l-mulūk) by al-Ṭabarī is one of the most important historical works about the first centuries of Muslim society in Arabic.This classic edition was supervised by M.J. de Goeje and was originally titled Annales quos scripsit Abu Djafar Mohammed Ibn Djarir At-Tabari. <br />  <br />  Availability: Full-text<br />  Date Coverage: - - - -"
"Telegraph Historical Archive, The (1855-2000)",Full-text historical archives of the London Daily Telegraph newspaper from 1855 to 2000. The archive provides access to both Daily and Sunday editions and offers a fundamental insight into domestic and international affairs and culture over a timespan of almost 150 years. <br />  <br />  Availability: full-text<br />  Date Coverage: 1855-2000
The Lebanese Official Gazette = الجريدة الرسمية منذ سنة 1922,Coverage: 1922 to present<br />  Limitation: Accessible at the Reference  Department only.<br />  Limitation: 1 user only.<br />  <br />  Authentication is held by the Reference Department (e-mail: jftref@aub.edu.lb – ext.: 2620/1) who will assist users in accessing full text articles.
Theology and Society Online,"Published by BRILL, this reference work is a comprehensive study of Islamic intellectual and religious history, focusing on Muslim theology during the early phase of the formation of Islam (second and third centuries of the Hijra)<br />  <br />  Availability: Full-text"
"Times Digital Archive, The (1785-1985)","Full-text historical archive of the Times (London) newspaper as published from 1785, and covering all major international historical events from the French Revolution to the Falkland War. The entire newspaper is captured, with all articles, editorials, advertisements and illustrations/ photos.<br />  <br />  Availability: Full-text<br />  Coverage: 1785-1985<br />  Note: Use LexisNexis database for issues published after 1985"
"Times Literary Supplement, The (click on &quot;more&quot; for access)","One of the world’s leading journal for literature and ideas. TLS publishes book reviews, book extracts, essays and poems from leading writers from around the world and even cover featuring major articles on subjects from anthropology to zoology, philosophy to politics, comedy to psychology. TLS is the major English-language publication to review books published in other languages, including French, Spanish, German, Italian and Russian.<br />  <br />  Coverage: 2024 - Present"
"Times, The (click on &quot;more&quot; for access)","The Times is the oldest national daily newspaper in the UK and holds an important place as the “paper of record” on public life, from politics and world affairs to business and sport. The Times and Sunday Times have unrivalled specialists in science, health, education, environment and social affairs. While their well-connected teams of political reporters provide unique insight into the workings of Westminster and Whitehall, their royal correspondents combine authority with a record of delivering scoops that are followed by media around the world. <br />  <br />  Coverage: 2024 - Present"
Translated texts for historians e-library,"Translated Texts for Historians book series makes available full text historical sources from A.D. 300–800 translated into English. The library contains different types of writing including histories, chronicles, letters, annals, political speeches, handbooks, poems, biblical commentaries, church histories, and Christian treatises. <br />  <br />  Availability: Full-text <br />  Date Coverage: Varies"
"Twentieth Century Religious Thought, Volume II: Islam","Online collection that brings together the seminal works and archival materials related to Islamic religious thinkers  This volume focuses on modern Islamic theology and tradition, and details Islam’s evolution from the early 1900s until the 1st decade of 2000 by examining printed works and rare documents by Muslim writers, both non-Western and Western voices. <br />  <br />  Availability: Full-text<br />  Date Coverage: - - - -"
"U. S. Intelligence on the Middle East, 1945-2009","This collection of primary documents sheds lights on the U.S. intelligence community’s spying and analytic efforts in the Arab world, Middle East, Near East, & North Africa. It covers the time period from the end of World War II to the present day, up until the 2002-2003 Iraqi Weapons of Mass Destruction (WMD) assessments, the Global War on Terror, the Iraq War, and Iran’s nuclear program. <br />  <br />  Availability: Full-text<br />  Date Coverage: 1945-2009"
"U. S. Middle East Peace Policy and America’s Role in the Middle East Peace Process, 1989-1993","This collection of primary documents contains Bush Presidential Records from a variety of White House offices. Documents consist of letters of correspondence, memoranda, coversheets, notes, distribution lists, newspaper articles, informational papers, published articles, and reports primarily regarding American Middle East peace policy and the United States’ role in the Middle East peace process.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1989-1993"
U. S. Serial Set,"Bibliographic citations of governmental publications of United States Congressional Serial Set and American State Papers. The database covers congressional and executive material from 1789 though 1901, and includes a series of publications such as congressional reports and documents, presidential communications, maps and treaty materials. Publications capture key aspects of American life.<br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1789-1901"
U.K. Parliamentary Papers,"A primary source to the historical records of Britain, its former Colonies and the wider world. It contains parliamentary papers, also known as sessional papers, or blue books from the 18th century to the 21th century, with supplementary materials back to 1688. Papers cover all areas of social, political, economic and foreign policy, showing how issues were explored and legislation was formed.  <br />  <br />  Availability: Full-text<br />  Date Coverage: 1688 to 2005<br />  Note: The microfiche collection of the House of Commons Parliamentary Papers is held at the Audio Visual Section - Reference Department."
UlrichsWeb (Periodicals Directory),"A bibliographic database indexing around 250,000 serials including journals published worldwide. The directory covers all subjects and includes regular and irregular publications which are circulated free of charge or by paid subscription. It gives users access to serials information beyond the title level, with links to tables of contents, article abstracts, journal full-text, and document delivery.<br />  <br />  Availability: Full-text<br />  Date Coverage: Current"
UNdata,"UNData provides access to data produced or collected by major United Nations organizations such as FAO, UNDP, ILO, UNESCO, WHO as well as estimates and projections. <br />  <br />  Availability: Statistical data<br />  Date Coverage: Varies"
UpToDate (Users need to access UpToDate every 90 days through the libraries’ webpage to confirm their affiliation with AUB),"UpToDate is an Evidence-based clinical information resource authored by physicians, offering different levels of patient education and contains short discussions of medical topics in internal medicine, pediatrics, obstetrics/gynecological and family medicine. It includes graphics, medical calculators, drug interaction databases and more.<br />  <br />  Availability: Full-text and graphics<br />  Coverage: Current"
Visible Body,"A suite of online programs that cover anatomy, physiology, muscles, the skeleton and the circulatory system through interactive 3D models, animations, quizzes and more.<br />  <br />  Availability: 3D visualization <br />  Date Coverage: Varies"
VisualDX,"Diagnostic clinical decision support system that includes:<br />  -World’s best curated medical image library<br />  -Leading skin of color atlas<br />  -Smart search for chief complaints, diagnoses, and drug reactions<br />  -Custom patient-specific differential diagnosis builder"
